Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-957.6409	-1025.662	68.02133	0.000810278	0.00369851	0.00647008	0.00430274	0.016853	0.0129702	0.00176854	0.0437014	0.000859184	0.0225952	0.0848489	0.00825334	0.0106627	0.00642503	0.00305162	0.0031006	0.00548289	0.00861514	0.00211267	0.0350796	0.0254214	0.00128872	0.0149969	0.0110713	0.00276876	0.00797665	0.0542123	0.173439	0.0136778	0.0363926	0.0372808	0.0638135	0.00177631	0.0913572	0.0451585	0.0241559	0.000587305	0.0434372	0.0650002	0.0319042	0.0240702	0.0118	0.00566564	0.084546	0.0836922	0.0134158	0.0514204	0.00573425	0.00114424	0.66859	1.62139	0.226564	0.484758	0.797792	1.25346	2.06289	4.41377	1.073562	0.7731654	0.000619068	0.00282574	0.00494327	0.00328738	0.012876	0.00990947	0.0013512	0.0333887	0.000656433	0.0172631	0.0648263	0.00630571	0.00814649	0.00490885	0.00233149	0.00236892	0.00418903	0.00658214	0.00161412	0.0268015	0.0194224	0.000984607	0.0114579	0.00845873	0.00211539	0.00609432	0.0414193	0.132511	0.0104501	0.0278047	0.0284832	0.0487548	0.00135713	0.0697987	0.0345019	0.0184556	0.000448713	0.0331869	0.0496614	0.0243755	0.0183901	0.00901546	0.00432866	0.0645948	0.0639424	0.0102499	0.0392862	0.00438108	0.000874219	0.916516	0.0834838	0.9165162	1.308867
36	-956.0429	-1022.984	66.94127	0.00284236	0.00521177	0.0188438	0.0190353	0.0230147	0.0188402	0.000948865	0.0964321	0.0110971	0.0411502	0.0788208	0.00473271	0.00676819	0.014267	0.0182425	0.0317198	0.00584919	0.0402845	0.0317317	0.107725	0.0166127	0.037055	0.0127656	0.0153223	0.00582382	0.0107401	0.13405	0.214125	0.0180675	0.0534804	0.0894597	0.0888145	0.00600971	0.142202	0.0796798	0.0327938	0.00104138	0.107719	0.042392	0.0438836	0.0238824	0.0252402	0.0521657	0.0548282	0.165938	0.0524774	0.129729	0.0170245	0.0309925	0.806968	1.36193	0.568909	0.75951	0.917759	1.08961	1.31664	1.75775	0.4078362	1.110968	0.00124563	0.00228399	0.00825803	0.00834196	0.0100859	0.00825645	0.000415827	0.0422601	0.00486317	0.0180335	0.0345421	0.00207405	0.00296607	0.0062523	0.00799455	0.0139008	0.00256333	0.0176541	0.013906	0.0472089	0.00728028	0.0162389	0.00559437	0.00671477	0.00255221	0.00470669	0.0587456	0.0938374	0.00791786	0.0234371	0.0392045	0.0389218	0.00263367	0.062318	0.0349186	0.0143715	0.000456371	0.0472062	0.0185777	0.0192314	0.0104662	0.0110612	0.0228609	0.0240277	0.0727199	0.0229975	0.0568522	0.00746074	0.013582	0.958939	0.0410608	0.9589392	2.281873
72	-951.2554	-1018.347	67.09141	0.00304772	0.00538851	0.0120608	0.0076847	0.0365146	0.00102824	0.00357283	0.112731	0.00244683	0.0399568	0.0349477	0.00196553	0.00320221	0.0237562	0.0105967	0.0277845	0.00459788	0.0110849	0.00442878	0.0339551	0.037542	0.0187933	0.0351336	0.0147071	0.00680805	0.0140222	0.0988813	0.209682	0.0168581	0.0331093	0.0690757	0.110606	0.00471084	0.157606	0.119485	0.0538173	0.00620087	0.115884	0.0483468	0.0537576	0.0242229	0.00746517	0.0393721	0.111289	0.166219	0.0675384	0.104764	0.0137313	0.00564724	0.748148	1.47222	0.422684	0.657063	0.877196	1.14	1.52192	2.36583	0.6226558	0.9528288	0.00142017	0.00251092	0.00562007	0.00358089	0.017015	0.000479137	0.00166486	0.0525303	0.00114017	0.018619	0.0162848	0.000915893	0.00149216	0.0110699	0.00493784	0.012947	0.00214251	0.00516533	0.00206371	0.0158223	0.0174937	0.00875724	0.0163714	0.00685316	0.00317239	0.00653403	0.0460764	0.0977072	0.0078555	0.0154282	0.0321877	0.0515397	0.00219514	0.0734407	0.0556771	0.0250776	0.00288947	0.0539994	0.0225285	0.0250498	0.0112873	0.0034786	0.0183465	0.0518582	0.0774542	0.0314714	0.0488177	0.00639849	0.00263149	0.931718	0.0682822	0.9317178	2.146028
108	-960.7311	-1027.74	67.00918	0.00604048	0.0249612	0.00507632	0.00388986	0.0171792	0.00603919	0.00820434	0.0901437	0.00791355	0.0812337	0.00314008	0.0063523	0.000465529	0.0235607	0.0130618	0.0247348	0.0025656	0.0314982	0.0127223	0.0329605	0.0493003	0.00179009	0.00561637	0.0033555	0.0141808	0.0173207	0.0864839	0.291294	0.00780941	0.0336779	0.0414153	0.059098	0.00285659	0.176194	0.178295	0.0258801	0.00375845	0.116726	0.0604589	0.0397458	0.0185253	0.000430318	0.012815	0.103358	0.123814	0.0335355	0.0847189	0.025044	0.0010045	0.783067	1.40675	0.32847	0.581023	0.844175	1.18459	1.7211	3.04442	0.8050002	1.043718	0.00298997	0.0123555	0.00251272	0.00192544	0.00850352	0.00298933	0.00406106	0.0446201	0.00391712	0.0402098	0.0015543	0.00314432	0.000230432	0.0116623	0.00646546	0.0122435	0.00126995	0.0155913	0.00629741	0.0163151	0.0244031	0.000886075	0.00278004	0.00166093	0.00701935	0.00857357	0.0428086	0.144187	0.00386557	0.0166702	0.0205001	0.0292529	0.00141398	0.0872143	0.088254	0.0128104	0.00186039	0.0577782	0.0299265	0.0196737	0.00916983	0.000213003	0.00634329	0.0511612	0.0612867	0.0165997	0.0419349	0.0123965	0.000497218	0.936176	0.0638237	0.9361763	2.020247
144	-968.024	-1035.763	67.73886	0.0094053	0.0320377	0.0110075	0.0163999	0.0282775	0.0124732	0.0132364	0.0962336	0.0169254	0.0204259	0.0347211	0.0177058	0.00609961	0.0244801	0.000783877	0.090754	0.00594842	0.0357153	0.0270487	0.0175903	0.00764209	0.0163212	0.00977283	0.00833155	0.00177927	0.0276405	0.0390479	0.275199	0.0375765	0.0399903	0.084065	0.0538928	0.000101213	0.0820079	0.0940871	0.040739	0.00897969	0.0912675	0.078097	0.0442581	0.00421149	0.000546117	0.0180067	0.109939	0.0587525	0.0203984	0.0943182	0.0285972	0.00994498	0.571922	1.80265	0.340475	0.591285	0.848799	1.17814	1.69123	2.93707	0.7790439	0.5948772	0.00494292	0.0168373	0.00578496	0.00861893	0.0148611	0.00655526	0.00695633	0.0505753	0.00889508	0.0107348	0.0182476	0.00930521	0.00320563	0.0128654	0.000411964	0.0476954	0.00312617	0.0187701	0.0142153	0.00924453	0.00401628	0.00857756	0.00513608	0.00437862	0.000935087	0.0145264	0.0205215	0.14463	0.0197482	0.0210168	0.0441801	0.0283232	5.31922e-05	0.043099	0.0494471	0.0214103	0.00471925	0.0479653	0.0410436	0.0232597	0.00221334	0.00028701	0.00946335	0.0577779	0.0308772	0.0107203	0.0495686	0.0150292	0.00522655	0.934814	0.0651864	0.9348136	1.902781
180	-964.3604	-1032.21	67.84918	0.00310385	0.0230079	0.00869587	0.0156258	0.0263587	0.0102354	0.000715444	0.0484121	0.00552934	0.0375713	0.0494619	0.0075369	0.00417576	0.0232835	0.000244238	0.00994362	0.0119466	0.023743	0.0062087	0.0726653	0.00393342	0.0174072	0.00963123	0.00106011	0.00279975	0.0261933	0.0651004	0.133375	0.0849027	0.0301934	0.0219808	0.0960027	0.00401668	0.151577	0.0572304	0.0285364	0.0155437	0.0437111	0.0589254	0.0275265	0.0320397	0.00656088	0.00656447	0.0750403	0.00457601	0.0238849	0.0830142	0.0101978	0.00477172	0.781193	1.41026	0.383528	0.626638	0.864317	1.15698	1.59582	2.60737	0.6929485	1.038627	0.00204907	0.0151891	0.00574075	0.0103157	0.0174012	0.00675709	0.000472314	0.0319602	0.0036503	0.0248034	0.0326532	0.00497563	0.00275671	0.0153711	0.000161239	0.00656448	0.00788677	0.0156744	0.0040988	0.0479714	0.00259672	0.0114917	0.00635824	0.000699855	0.00184831	0.017292	0.0429773	0.0880504	0.0560502	0.0199328	0.0145111	0.063378	0.00265169	0.100066	0.0377818	0.0188389	0.0102615	0.0288567	0.0389007	0.0181721	0.0211516	0.0043313	0.00433366	0.0495393	0.00302094	0.0157681	0.0548034	0.00673225	0.00315014	0.966714	0.0332863	0.9667137	1.514763
216	-957.8472	-1024.989	67.14196	0.00310393	0.00482119	0.00649458	0.00414998	0.0223497	0.0123046	0.0185917	0.0809701	0.00601733	0.064814	0.0527394	0.0011784	0.0153748	0.0400977	0.00628494	0.00276411	0.00603212	0.00993496	0.0075467	0.057864	0.0352949	0.0189197	0.00763974	0.0132377	0.000811915	0.00517246	0.0659843	0.251882	0.119509	0.0254594	0.0605311	0.124331	0.000875769	0.121174	0.0999053	0.00344234	0.00436847	0.0559934	0.0429332	0.0432842	0.031951	0.00133788	0.0336815	0.0745502	0.00878671	0.0278015	0.131876	0.023375	0.0342895	0.870053	1.24365	0.420834	0.655659	0.876611	1.14076	1.52518	2.37623	0.6258285	1.311742	0.0016407	0.00254842	0.00343295	0.00219363	0.0118138	0.00650406	0.00982733	0.0427998	0.00318069	0.0342599	0.0278774	0.000622886	0.00812695	0.0211951	0.00332214	0.00146107	0.00318851	0.0052515	0.00398909	0.0305862	0.0186564	0.0100007	0.00403827	0.00699728	0.000429168	0.0027341	0.0348785	0.133142	0.0631711	0.0134575	0.031996	0.0657197	0.000462921	0.064051	0.0528087	0.00181958	0.00230912	0.0295974	0.022694	0.0228795	0.0168889	0.000707186	0.0178036	0.0394063	0.00464455	0.0146955	0.0697083	0.0123557	0.018125	0.991608	0.00839157	0.9916084	1.891833
252	-966.8636	-1032.426	65.56289	0.00676697	0.0719882	0.0475826	0.0116909	0.0432073	0.0124132	0.0141135	0.118951	0.000899242	0.0199349	0.105589	0.00672575	0.00829113	0.0227462	0.0133855	0.0273006	0.0546554	0.0226416	0.00395993	0.135716	0.00818857	0.0377528	0.0149511	0.057268	0.0106548	0.0226095	0.036762	0.023179	0.103988	0.0052917	0.249694	0.134024	0.0179414	0.0728951	0.00595459	0.00314118	0.0673788	0.187107	0.375204	0.109103	0.0622656	0.116203	0.187378	0.012776	0.0326474	0.0931161	0.0333076	0.0387216	0.0677704	0.919588	1.15077	0.565548	0.757319	0.916932	1.09059	1.32045	1.7682	0.41212	1.498322	0.00230496	0.0245205	0.0162075	0.00398213	0.0147172	0.00422815	0.00480732	0.0405169	0.000306299	0.00679021	0.0359655	0.00229091	0.00282411	0.00774778	0.00455937	0.00929911	0.0186166	0.00771214	0.00134883	0.0462274	0.00278918	0.0128593	0.00509261	0.0195065	0.00362922	0.00770121	0.0125218	0.0078952	0.0354202	0.00180245	0.0850504	0.0456512	0.00611117	0.0248294	0.00202824	0.00106995	0.0229505	0.0637323	0.127802	0.0371625	0.0212088	0.0395809	0.0638246	0.00435175	0.0111203	0.0317171	0.0113452	0.0131893	0.0230839	0.987345	0.0126551	0.9873449	2.935834
288	-959.7344	-1026.42	66.68561	0.0113297	0.0056752	0.00794574	0.0094318	0.0560876	0.0146501	0.00757327	0.131399	0.0252693	0.043168	0.0547362	0.00640011	0.0147414	0.0230776	0.0140183	0.0198453	0.000497435	0.0428746	0.00797967	0.0429576	0.00773304	0.00179342	0.00741644	0.0766494	0.00490534	0.0144118	0.0603609	0.0182985	0.123899	0.00787217	0.0988637	0.0688187	0.0303142	0.123724	0.0282888	0.0100218	0.0726758	0.199812	0.260206	0.107307	0.00759216	0.162148	0.152174	0.0625864	0.0161797	0.0740237	0.0191192	0.0432302	0.0401395	0.722054	1.52115	0.415348	0.651476	0.874862	1.14304	1.53498	2.40762	0.6353164	0.8900188	0.0046429	0.00232569	0.00325615	0.00386514	0.0229846	0.00600359	0.00310352	0.0538472	0.0103553	0.0176902	0.0224308	0.00262275	0.00604101	0.00945718	0.00574468	0.00813256	0.000203848	0.0175699	0.00327006	0.017604	0.00316899	0.000734943	0.00303924	0.0314108	0.0020102	0.00590593	0.0247358	0.00749871	0.0507736	0.003226	0.0405142	0.0282018	0.0124227	0.0507019	0.0115927	0.0041069	0.0297825	0.0818826	0.106632	0.0439744	0.00311126	0.0664481	0.0623606	0.0256478	0.00663042	0.0303348	0.00783501	0.0177157	0.0164491	0.971791	0.0282091	0.9717909	2.440223
324	-960.9993	-1027.452	66.4522	0.00849747	0.0989734	0.0119592	0.0123968	0.036722	0.0152884	0.00100143	0.082841	0.0291973	0.0305634	0.0120731	0.00465338	0.0017217	0.0111197	0.0201211	0.0104328	0.00411861	0.00717333	0.0209999	0.109647	0.0212832	0.000112408	0.00428141	0.0820804	0.00619755	0.0458681	0.0415068	0.0101742	0.059068	0.000319645	0.183279	0.0913571	0.0595435	0.063952	0.0101072	0.00680375	0.0848966	0.226454	0.300654	0.113957	0.00608921	0.169149	0.175828	0.0114192	0.0370693	0.0832636	0.0730906	0.000891753	0.0455869	0.790369	1.39306	0.483123	0.701317	0.895217	1.11705	1.42589	2.06986	0.5260205	1.063804	0.00334048	0.0389079	0.00470135	0.00487339	0.014436	0.00601012	0.000393678	0.032566	0.0114779	0.0120149	0.00474612	0.00182931	0.000676826	0.00437134	0.00790991	0.00410128	0.00161909	0.00281994	0.00825539	0.0431038	0.00836676	4.41893e-05	0.00168309	0.0322671	0.00243635	0.0180314	0.016317	0.00399962	0.0232205	0.000125657	0.0720497	0.0359138	0.0234075	0.0251405	0.00397329	0.00267466	0.0333741	0.0890224	0.118192	0.0447981	0.00239376	0.066495	0.0691208	0.00448907	0.0145725	0.0327322	0.028733	0.000350561	0.0179209	0.981571	0.0184294	0.9815706	2.543784
